stop_id,name,district,ridership,dispatch_interval,dispatch_half,cai_normalized,lat,lon,pm25,pm10,o3,no2,so2,co,pm25_index,pm10_index,o3_index,no2_index,so2_index,co_index,cai,cai_grade,main_pollutant,priority_v1,priority_v2,pollution_exposure,priority_v4,ridership_log,cai_ridership,pollution_exposure_v2,total_exposure,is_high_traffic,is_high_pollution,is_long_wait
106000213,상봉터미널(00074),중랑구,37700,10.6666666666666,5.33333333333333,0.6148,37.59646615,127.0931425,18.8419,31.8648,0.0312,0.0169,0.0027,0.3865,59.6,51.9,51.0,28.1,6.8,9.7,59.6,보통,초미세먼지,0.2969873911453989,0.24251812375513532,0.0015543652982545062,0.3030515360411454,10.537441898283253,2.24692,317.8666666666665,11.983573333333327,0,0,0
106000214,상봉터미널(00016),중랑구,358132,10.25,5.125,0.6148,37.59622669,127.0928591,18.8475,31.8657,0.0311,0.0169,0.0027,0.3861,59.6,51.9,50.9,28.1,6.8,9.7,59.6,보통,초미세먼지,0.32037562059809477,0.28072546793417913,0.014188941938478411,0.33320074471771377,12.788659704770575,21.3446672,305.45,109.39141939999999,1,0,0
106000215,망우3동주민센터.혜원여중고후문(00034),중랑구,73043,10.0,5.0,0.637,37.59216765,127.0935437,18.9677,31.8947,0.0307,0.0167,0.0027,0.3788,59.9,51.9,50.6,27.9,6.8,9.5,59.9,보통,초미세먼지,0.3018018963637891,0.25029543713827623,0.002925377919763691,0.3121622756365469,11.198817278281926,4.3752757,299.5,21.8763785,0,1,0
106000216,망우3동주민센터.혜원여중고후문(00017),중랑구,111871,10.0,5.0,0.637,37.59246525,127.0932383,18.9585,31.8925,0.0308,0.0167,0.0027,0.3794,59.9,51.9,50.6,27.9,6.8,9.5,59.9,보통,초미세먼지,0.30505668245766776,0.2551776162790942,0.0044804423868390385,0.3160680189492013,11.625110639575153,6.7010729,299.5,33.5053645,0,1,0
106000217,동원시장(00033),중랑구,65444,10.0,5.0,0.6444,37.59045815,127.0937069,19.0113,31.9036,0.0306,0.0167,0.0027,0.376,60.0,51.9,50.5,27.8,6.8,9.4,60.0,보통,초미세먼지,0.3036340403168871,0.25156217158644173,0.0026515145482237934,0.3143608483802645,11.08896537422582,3.92664,300.0,19.6332,0,1,0
106000218,동원시장(00018),중랑구,111629,10.0,5.0,0.6444,37.59039979,127.0934407,19.0119,31.9036,0.0306,0.0167,0.0027,0.3759,60.0,51.9,50.5,27.8,6.8,9.4,60.0,보통,초미세먼지,0.3075055324294292,0.2573694097552549,0.004522735735952476,0.31900663891531506,11.622945110008779,6.69774,300.0,33.4887,0,1,0
106000219,면목본동파출소(00032),중랑구,44024,10.0,5.0,0.6519,37.58867095,127.0941327,19.0485,31.9108,0.0304,0.0166,0.0027,0.3734,60.1,51.9,50.3,27.7,6.8,9.3,60.1,보통,초미세먼지,0.3043076286244845,0.2510910725663563,0.0018041685072239311,0.3151691543493814,10.692512933364407,2.6458424,300.5,13.229212,0,1,0
106000220,면목본동파출소(00019),중랑구,120145,10.0,5.0,0.6593,37.58717592,127.0942916,19.0702,31.9145,0.0303,0.0166,0.0027,0.3718,60.2,51.9,50.3,27.7,6.8,9.3,60.2,보통,초미세먼지,0.3131576640934865,0.26288464428837777,0.004979670812753301,0.3257891969121838,11.696462948891748,7.232729,301.0,36.163645,0,1,0
106000221,중화2동체육공원(00031),중랑구,56689,9.5,4.75,0.5407,37.60036,127.073872,18.4539,31.6821,0.0321,0.0171,0.0027,0.4042,58.6,51.7,51.7,28.5,6.8,10.1,58.6,보통,초미세먼지,0.2641655780030661,0.21685021885645095,0.0018308391354953887,0.26949869360367934,10.945353107318349,3.3219754,278.35,15.779383150000001,0,0,0
106000222,중화빗물펌프장(00026),중랑구,20168,8.0,4.0,0.5407,37.598335,127.072015,18.4542,31.6867,0.0321,0.0171,0.0027,0.4045,58.6,51.7,51.7,28.6,6.8,10.1,58.6,보통,초미세먼지,0.24860417790688447,0.20475811871217844,0.0005485050185682881,0.2583250134882613,9.911902051137146,1.1818448000000001,234.4,4.727379200000001,0,0,0
106000223,중화2동새마을금고(00027),중랑구,64458,8.0,4.0,0.5481,37.595615,127.072125,18.4998,31.7228,0.032,0.0172,0.0027,0.4027,58.7,51.7,51.7,28.6,6.8,10.1,58.7,보통,초미세먼지,0.2547859560318499,0.2125493044181451,0.0017770655942335948,0.2657431472382199,11.07378464175235,3.7836846,234.8,15.1347384,0,0,0
106000224,중화2동새마을금고(00029),중랑구,58247,9.5,4.75,0.5556,37.59553214,127.0723481,18.5057,31.7259,0.032,0.0172,0.0027,0.4025,58.8,51.7,51.7,28.6,6.8,10.1,58.8,보통,초미세먼지,0.26923445012140346,0.22149056407099404,0.0019326951483641672,0.27558134014568414,10.972465036074547,3.4249235999999996,279.3,16.268387099999998,0,0,0
106000225,중랑교동부시장(00028),중랑구,41930,8.0,4.0,0.5556,37.59381705,127.0724587,18.5331,31.747,0.032,0.0172,0.0027,0.4014,58.8,51.7,51.6,28.6,6.8,10.0,58.8,보통,초미세먼지,0.2553666654120747,0.21193888700700086,0.0011716045200742685,0.2664399984944896,10.643780689153017,2.465484,235.2,9.861936,0,0,0
106000226,중랑교동부시장(00028),중랑구,28650,9.5,4.75,0.5556,37.59388448,127.0726966,18.5373,31.7483,0.0319,0.0172,0.0027,0.4012,58.8,51.7,51.6,28.6,6.8,10.0,58.8,보통,초미세먼지,0.2667534594955529,0.21776907813221819,0.0009506363589649834,0.27260415139466343,10.262943625547717,1.68462,279.3,8.001945,0,0,0
106000228,아남리치카운티아파트(00129),중랑구,12794,11.0,5.5,0.6296,37.590405,127.085383,18.9022,31.8747,0.0309,0.0168,0.0027,0.3824,59.8,51.9,50.8,28.0,6.8,9.6,59.8,보통,초미세먼지,0.30261567648015614,0.24549758879430827,0.0005570868190989439,0.3081388117761874,9.456809748593889,0.7650811999999999,328.9,4.2079466,0,0,0
106000229,망우동고개(00060),중랑구,42172,13.75,6.875,0.5926,37.60128299,127.1083598,18.7093,31.8752,0.0318,0.017,0.0027,0.398,59.3,51.9,51.5,28.4,6.8,9.9,59.3,보통,초미세먼지,0.3156492969217947,0.25183042686417356,0.002160338516679754,0.3100291563061537,10.649535484831526,2.5007996,407.6875,17.19299725,0,0,1
106000231,망우금호어울림아파트(00008),중랑구,187629,13.0,6.5,0.5852,37.602019,127.108052,18.697,31.8711,0.0318,0.017,0.0027,0.3984,59.2,51.9,51.5,28.4,6.8,10.0,59.2,보통,초미세먼지,0.3191232027608551,0.2641477671042456,0.008973778244631308,0.31794784331302617,12.14222721748142,11.1076368,384.8,72.19963920000001,1,0,1
106000232,망우동금호어울림아파트(00061),중랑구,48047,13.75,6.875,0.5852,37.60236274,127.1080906,18.6908,31.8697,0.0318,0.017,0.0027,0.3987,59.2,51.9,51.5,28.4,6.8,10.0,59.2,보통,초미세먼지,0.31367263738134116,0.25034691903497464,0.0024305300294514324,0.3076571648576094,10.779955790223111,2.8443823999999998,407.0,19.555129,0,0,1
