NODE_ID,정류소명,자치구,노선목록,버스수,승차총승객수,avg_caralc,평균배차간격
108000155,경남아너스빌.꿈의숲해링턴아파트,강북구,"1124, 강북05",2,71319.0,51.0,25.5
108000156,송중초등학교,강북구,"1124, 1137, 강북05, 강북06, 강북09, 강북11",6,202008.0,41.666666666666664,20.833333333333332
108000157,송중초등학교,강북구,"1124, 강북05, 강북06, 성북10",4,40477.0,39.5,19.75
108000158,수유3동우체국,강북구,"1126, 1127",2,24607.0,44.0,22.0
108000159,수유3동우체국,강북구,"1126, 1127, 1138",3,137632.0,60.0,30.0
108000160,수유역.노스페이스문화센터,강북구,"1124, 1127, 1133, 1138, 1218, 148",6,822892.0,55.833333333333336,27.916666666666668
108000161,수유역6번출구,강북구,1119,1,527528.0,64.0,32.0
108000165,미아역8번출구.신일중고,강북구,1120,1,1575.0,64.0,32.0
108000172,미아사거리역.송천동우체국,강북구,1128,1,4972.0,48.0,24.0
108000173,미아사거리역,강북구,"1124, 1137",2,208654.0,53.0,26.5
108000175,한신대학교,강북구,"1165, 151, 강북02",3,136717.0,30.666666666666668,15.333333333333334
108000178,수유사거리,강북구,102,1,93274.0,44.0,22.0
108000179,수유사거리,강북구,"102, 1133",2,53356.0,46.0,23.0
108000181,송중동주민센터앞,강북구,1137,1,16501.0,44.0,22.0
108000182,송중동경남아너스빌정문,강북구,"1137, 강북09, 강북11",3,59048.0,41.333333333333336,20.666666666666668
108000183,북서울꿈의숲서문,강북구,"1124, 강북05",2,13784.0,51.0,25.5
108000184,수유역.강북구청,강북구,"1127, 1128, 1218",3,240339.0,49.333333333333336,24.666666666666668
108000185,삼각산보건지소,강북구,"1115, 강북08",2,37973.0,42.0,21.0
108000186,삼각산보건지소,강북구,"1115, 강북12",2,72566.0,46.0,23.0
108000187,삼각산동삼각산아이원아파트후문,강북구,"1115, 강북08",2,37203.0,42.0,21.0
108000188,삼각산동삼각산아이원아파트후문,강북구,"1115, 강북12",2,161692.0,46.0,23.0
108000189,롯데백화점미아점,강북구,"1124, 120, 강북05, 강북06, 성북10",5,396247.0,36.4,18.2
108000190,우이동주민센터입구,강북구,151,1,14177.0,28.0,14.0
108000192,솔샘터널,강북구,1165,1,42631.0,32.0,16.0
108000193,우이동도선사입구,강북구,"N15, 노원15",2,65095.0,70.0,35.0
108000194,우이동차고지기점,강북구,"130, 144",2,146573.0,32.0,16.0
108000195,한성운수종점,강북구,"1111, 1124, 1218, 145, 148",5,681.0,42.0,21.0
108000196,화계사입구.종점,강북구,"1165, 121",2,46574.0,32.0,16.0
108000198,SK아파트벽산아파트상가,강북구,"1165, 강북10",2,177604.0,30.0,15.0
108000199,우이동차고지종점,강북구,"130, 144",2,547.0,32.0,16.0
108000200,삼각산동삼각산아이원아파트정문,강북구,"1115, 강북12",2,109632.0,46.0,23.0
108000203,삼각산동삼각산아이원아파트정문,강북구,"1115, 강북08",2,39469.0,42.0,21.0
108000204,삼각산고.래미안트리베라,강북구,1115,1,36783.0,52.0,26.0
108000205,삼각산고.래미안트리베라,강북구,"1115, 강북08",2,75087.0,42.0,21.0
108000339,미아사거리역2번출구,강북구,"1124, 120, 강북05, 성북10",4,816520.0,39.5,19.75
108000364,방천시장입구,강북구,"1124, 120, 강북05, 성북10",4,75765.0,39.5,19.75
108000365,화계사입구.한신대학교대학원,강북구,"1165, 121",2,15120.0,32.0,16.0
108000367,삼각산119안전센터,강북구,"1115, 강북12",2,35928.0,66.0,33.0
108000368,삼각산119안전센터,강북구,1115,1,4378.0,52.0,26.0
108000369,미아사거리역.롯데백화점,강북구,1115,1,245141.0,52.0,26.0
108000371,무량사입구,강북구,"104, 1119, 1126, 강북01",4,2306.0,33.0,16.5
108000372,무량사입구,강북구,"104, 1119, 1126, 강북01",4,146493.0,33.0,16.5
108000373,꿈의숲주차장입구,강북구,"100, 111, 강북09, 강북11",4,185683.0,52.0,26.0
108000376,대한병원,강북구,"710, 강북01",2,34003.0,36.0,18.0
108000377,수유중앙시장,강북구,710,1,136164.0,36.0,18.0
108000378,수유역.강북구청,강북구,"101, 107, 1138, 1165, 120, 130, 140, 141, 142, 148, 150, 160, 163, 6102, 8101, N15, N16, 새벽A160",18,1919716.0,48.27777777777778,24.13888888888889
108000379,우이3교,강북구,노원14,1,3421.0,32.0,16.0
108000381,창번교,강북구,1133,1,24755.0,48.0,24.0
108000382,영신여객차고지(우이동종점),강북구,"109, 1167, 120",3,279560.0,40.333333333333336,20.166666666666668
108000383,영신여객차고지(우이동종점),강북구,"109, 1167, 120",3,910.0,40.333333333333336,20.166666666666668
108000384,한국사회봉사회,강북구,"1167, 130, N15, 노원15",4,59023.0,55.25,27.625
108000385,한국사회봉사회,강북구,"1144, 1167, 130, N15, 노원15",5,1720.0,56.2,28.1
108900001,당진슈퍼,강북구,강북04,1,12515.0,56.0,28.0
108900002,보람빌딩,강북구,"강북02, 강북03",2,48817.0,32.0,16.0
108900003,광산사거리,강북구,"도봉02, 도봉03, 도봉04",3,60552.0,38.666666666666664,19.333333333333332
108900004,현대백화점.E마트.빅토리아호텔,강북구,"강북09, 강북11",2,35588.0,80.0,40.0
108900007,번3동주민센터,강북구,강북09,1,46723.0,36.0,18.0
108900008,주공1.2단지한진아파트,강북구,강북09,1,19562.0,36.0,18.0
108900009,오현초등학교,강북구,강북11,1,17635.0,44.0,22.0
108900010,주공1.2단지한진아파트,강북구,강북11,1,42789.0,44.0,22.0
108900011,신원아파트.북서울꿈의교회,강북구,"강북09, 강북11",2,98626.0,40.0,20.0
108900012,기산아파트.2단지후문,강북구,"강북09, 강북11",2,62842.0,40.0,20.0
108900013,주공3단지정문,강북구,"강북09, 강북11",2,36406.0,40.0,20.0
108900014,번동슈퍼,강북구,강북06,1,3707.0,24.0,12.0
108900015,아카데미하우스.통일교육원,강북구,강북01,1,92.0,36.0,18.0
108900016,백련사,강북구,강북01,1,376.0,36.0,18.0
108900017,강북보건소앞.번2동주민센터,강북구,강북06,1,33111.0,48.0,24.0
108900018,금호.현대아파트,강북구,"강북09, 강북11",2,27741.0,40.0,20.0
108900019,강북문화정보도서관.해모로아파트,강북구,강북05,1,9302.0,40.0,20.0
108900020,로얄공인중계사무소,강북구,"강북09, 강북11",2,7345.0,40.0,20.0
108900021,주공5단지,강북구,"강북09, 강북11",2,23327.0,40.0,20.0
108900022,본원정사,강북구,강북02,1,10988.0,32.0,16.0
108900023,본원정사,강북구,강북02,1,7604.0,32.0,16.0
108900024,청화슈퍼,강북구,강북06,1,6162.0,24.0,12.0
108900025,청화슈퍼,강북구,강북06,1,38467.0,24.0,12.0
108900026,국립419민주묘지삼거리.윤극영가옥,강북구,강북01,1,3616.0,36.0,18.0
108900027,모아빌라,강북구,강북02,1,66.0,32.0,16.0
108900028,금강슈퍼,강북구,강북06,1,17457.0,24.0,12.0
108900029,벽산아파트,강북구,강북10,1,10690.0,28.0,14.0
108900030,해청빌라,강북구,강북02,1,60.0,32.0,16.0
108900031,영순슈퍼,강북구,강북06,1,22783.0,24.0,12.0
108900032,인수초중학교,강북구,강북01,1,2669.0,36.0,18.0
108900033,기도원입구,강북구,강북02,1,73.0,32.0,16.0
108900034,율곡어린이놀이터,강북구,강북04,1,195.0,56.0,28.0
108900035,당진슈퍼,강북구,강북06,1,52714.0,24.0,12.0
108900038,형제슈퍼,강북구,강북02,1,298.0,32.0,16.0
108900039,믿음슈퍼,강북구,강북04,1,411.0,56.0,28.0
108900040,SM빌라,강북구,강북10,1,1854.0,28.0,14.0
108900041,수유역.강북구청,강북구,"강북09, 강북11",2,1000293.0,40.0,20.0
108900042,성원아파트,강북구,"도봉02, 도봉05",2,1874.0,40.0,20.0
108900043,국립재활원,강북구,강북01,1,14132.0,36.0,18.0
108900044,삼성하이츠빌라,강북구,강북02,1,451.0,32.0,16.0
108900045,빨래골입구,강북구,강북10,1,12795.0,28.0,14.0
108900046,청수탕,강북구,강북02,1,7244.0,32.0,16.0
108900047,빨래골,강북구,강북03,1,3024.0,32.0,16.0
108900048,삼광학원,강북구,"강북04, 강북06",2,18602.0,40.0,20.0
108900049,미아사거리역,강북구,강북05,1,603759.0,40.0,20.0
108900050,정은빌라,강북구,강북10,1,373.0,28.0,14.0
108900051,수연슈퍼,강북구,강북03,1,195.0,32.0,16.0
108900052,한영교회,강북구,강북06,1,8133.0,24.0,12.0
108900053,방천시장입구,강북구,강북05,1,17288.0,40.0,20.0
108900054,벽산아파트,강북구,강북01,1,16097.0,36.0,18.0
108900055,한신대신학대학원.화계사,강북구,강북02,1,9301.0,32.0,16.0
108900056,다리앞,강북구,강북03,1,121.0,32.0,16.0
108900057,삼흥연립,강북구,강북03,1,195.0,32.0,16.0
108900058,제일슈퍼,강북구,강북06,1,7120.0,24.0,12.0
108900059,8번지입구,강북구,강북05,1,107338.0,40.0,20.0
108900060,금강산병원.전자공단,강북구,"강북09, 강북11",2,13928.0,40.0,20.0
108900061,백년시장,강북구,강북01,1,14335.0,36.0,18.0
108900062,한빛맹아학교,강북구,강북03,1,1216.0,32.0,16.0
108900063,홈빌라트,강북구,강북06,1,3839.0,24.0,12.0
108900064,한일아파트정문,강북구,강북05,1,37548.0,40.0,20.0
108900065,마을버스사무실,강북구,강북10,1,3486.0,28.0,14.0
108900066,주공5단지,강북구,"강북09, 강북11",2,74764.0,40.0,20.0
108900067,한빛예술단,강북구,강북03,1,1369.0,32.0,16.0
108900068,꿈의숲해링턴아파트101동앞,강북구,강북06,1,5595.0,24.0,12.0
108900069,장미맨션,강북구,강북05,1,15825.0,40.0,20.0
108900070,페리카나치킨,강북구,강북10,1,5718.0,28.0,14.0
108900071,로얄공인중계사무소,강북구,"강북09, 강북11",2,17610.0,40.0,20.0
108900072,수유역,강북구,강북01,1,314103.0,36.0,18.0
108900073,꿈의숲해링턴105동.강북50플러스센터,강북구,강북06,1,10003.0,24.0,12.0
108900074,한일아파트후문,강북구,강북05,1,49659.0,40.0,20.0
108900075,삼양시장,강북구,강북10,1,5109.0,28.0,14.0
108900076,금호.현대아파트,강북구,"강북09, 강북11",2,81864.0,40.0,20.0
108900077,꿈의숲해링턴아파트108동앞,강북구,강북06,1,22470.0,24.0,12.0
