NODE_ID,avg_headway_min,표준버스정류장ID,역명,자치구,승차총승객수,wait_exposure
100900017,1.26,100900017,국민생활관(00007),종로구,241176.0,303881.76
100900018,3.75,100900018,문방구(00033),종로구,556.0,2085.0
100900019,3.75,100900019,마트앞(00034),종로구,2617.0,9813.75
100900020,2.5,100900020,통인시장앞(00003),종로구,84782.0,211955.0
100900021,1.75,100900021,양현관(00003),종로구,93235.0,163161.25
100900022,3.75,100900022,국민은행.세검정지점(00035),종로구,1036.0,3885.0
100900024,2.5,100900024,삼청동주민센터(00003),종로구,133748.0,334370.0
100900025,3.75,100900025,세검초등학교(00003),종로구,2292.0,8595.0
100900026,3.75,100900026,빨래터(00016),종로구,19013.0,71298.75
100900027,0.8076923076923077,100900027,혜화역4번출구(00010),종로구,124345.0,100432.5
100900028,1.26,100900028,방송통신대앞(00012),종로구,35697.0,44978.22
100900029,10.0,100900029,화정박물관(00002),종로구,14248.0,142480.0
100900030,2.25,100900030,서울대치과대학(00010),종로구,656.0,1476.0
100900031,1.26,100900031,서울국제고등학교(00006),종로구,129419.0,163067.94
100900032,1.75,100900032,샘미용실.종로구청소년상담복지센터(00002),종로구,58923.0,103115.25
100900033,0.984375,100900033,효제초교.연동교회.김마리아활동터(00016),종로구,53913.0,53070.609375
100900034,2.5,100900034,박노수미술관(00002),종로구,159134.0,397835.0
100900035,2.5,100900035,금융연수원(00002),종로구,100749.0,251872.5
100900036,3.75,100900036,화정박물관(00002),종로구,3845.0,14418.75
100900037,3.75,100900037,세탁소(00015),종로구,19013.0,71298.75
100900038,2.25,100900038,서울대치과대학(00002),종로구,11022.0,24799.5
100900039,2.25,100900039,낙산공원(00001),종로구,68792.0,154782.0
100900040,1.75,100900040,명륜3가종점(00001),종로구,93777.0,164109.75
100900041,2.5,100900041,수성동계곡(00001),종로구,143693.0,359232.5
100900042,2.25,100900042,서울대학교병원현관.암병원현관(00001),종로구,176287.0,396645.75
100900043,4.5,100900043,이화사거리(00013),종로구,34816.0,156672.0
100900044,2.75,100900044,서대문역3번출구(00001),종로구,431827.0,1187524.25
100900045,3.0,100900045,통일부(00003),종로구,10306.0,30918.0
100900046,1.75,100900046,명륜시장.성대후문(00004),종로구,223756.0,391573.0
100900047,2.727272727272727,100900047,평창파출소(00001),종로구,126771.0,345739.0909090909
100900048,1.6666666666666667,100900048,가회동주민센터(00008),종로구,37081.0,61801.66666666667
100900049,2.75,100900049,독립문초등학교(00007),종로구,13363.0,36748.25
100900050,10.0,100900050,아름다운실버(00007),종로구,595.0,5950.0
100900051,2.25,100900051,창덕궁(00008),종로구,9479.0,21327.75
100900052,1.6666666666666667,100900052,북촌한옥마을입구.정세권활동터(00007),종로구,109621.0,182701.6666666667
100900053,2.25,100900053,청룡사.보문파크뷰자이아파트(00006),종로구,66483.0,149586.75
100900054,10.0,100900054,소나무집(00006),종로구,2376.0,23760.0
100900056,2.5,100900056,경복궁(00006),종로구,32171.0,80427.5
100900057,2.25,100900057,종로3가역9번출구(00006),종로구,260802.0,586804.5
100900058,1.6666666666666667,100900058,안국선원.삼거리(00006),종로구,41520.0,69200.0
100900059,3.0,100900059,사우디대사관앞.경남빌라(00005),종로구,24758.0,74274.0
100900060,2.25,100900060,종로센트레빌후문.e편한세상보문아파트(00005),종로구,29185.0,65666.25
100900061,2.75,100900061,경희궁자이4단지(00005),종로구,61508.0,169147.0
100900062,10.0,100900062,언덕앞(00005),종로구,841.0,8410.0
100900063,1.26,100900063,혜화우체국(00009),종로구,57966.0,73037.16
100900064,1.75,100900064,새마을금고(00005),종로구,122726.0,214770.5
100900065,2.5,100900065,광화문새마을금고(00005),종로구,13714.0,34285.0
100900066,2.25,100900066,종로4가.종묘공원(00005),종로구,47811.0,107574.75
100900067,3.75,100900067,인왕빌딩(00005),종로구,2255.0,8456.25
100900068,3.75,100900068,중앙중고(00018),종로구,19398.0,72742.5
100900069,3.0,100900069,감사원(00004),종로구,86748.0,260244.0
100900070,2.25,100900070,명신초.삼선푸르지오.힐스테이트(00004),종로구,75992.0,170982.0
100900071,2.75,100900071,영천시장(00004),종로구,101004.0,277761.0
100900072,10.0,100900072,청련사입구(00004),종로구,472.0,4720.0
100900073,2.75,100900073,한국사회과학도서관.이회영기념관(00012),종로구,27192.0,74778.0
100900074,10.0,100900074,감나무골공원(00012),종로구,534.0,5340.0
100900075,1.26,100900075,혜화역1번출구(00023),종로구,550911.0,694147.86
100900076,2.25,100900076,서울대병원장례식장(00013),종로구,5319.0,11967.75
100900077,3.75,100900077,완성빌라(00012),종로구,7304.0,27390.0
100900078,1.6666666666666667,100900078,낙원상가(00004),종로구,23944.0,39906.66666666667
100900079,10.0,100900079,힐탑(00011),종로구,1866.0,18660.0
100900080,3.75,100900080,상명대후문(00011),종로구,12427.0,46601.25
100900081,1.6666666666666667,100900081,수운회관(00003),종로구,5693.0,9488.333333333334
100900082,2.75,100900082,행촌주차장(00010),종로구,30397.0,83591.75
