표준버스정류장ID,역명,자치구,승차총승객수
119900259,테니스장.우성아파트304동(00020),동작구,4080
100900188,적십자병원후문앞(00002),종로구,4077
122900036,학동역(00004),강남구,4074
119900218,당곡중.고등학교(00020),동작구,4071
121000237,개나리골입구(00038),서초구,4071
118000261,대성유니드아파트(00018),영등포구,4070
118900133,선유도역.롯데홈쇼핑(00031),영등포구,4067
124000008,고덕천교차로(00045),강동구,4060
117900176,시흥계곡앞(00021),금천구,4057
118000331,코사마트(00018),영등포구,4050
103900008,극동아파트7동(00003),성동구,4049
106000267,망우사거리(00059),중랑구,4048
112900151,인왕산현대아파트입구(00015),서대문구,4044
116000592,동삼빌라(00008),구로구,4043
113900031,창전삼성아파트104동(00028),마포구,4031
111000224,덕은교.은평차고지앞(00079),은평구,4030
117000907,독산주공14단지(00060),금천구,4026
112900118,민속식당(00023),서대문구,3994
100900171,서울국제고등학교(00027),종로구,3986
112900205,개미마을(00001),서대문구,3966
124900077,암사삼성.현대아파트(00043),강동구,3940
115900246,한서고등학교.보람아파트(00007),강서구,3936
107900097,장위119안전센터(00013),성북구,3917
111901122,행운슈퍼(00009),은평구,3911
123900016,가락중학교(00020),송파구,3885
120900104,펭귄시장(00016),관악구,3867
118900102,병무청(00023),영등포구,3866
100900036,화정박물관(00002),종로구,3845
107900148,장위119안전센터(00013),성북구,3840
108900063,홈빌라트(00025),강북구,3839
112900234,대명빌라(00004),서대문구,3837
107900318,선잠단지.성락원앞(00012),성북구,3836
113000210,서강해모로아파트(00026),마포구,3822
105900024,경희중고(00003),동대문구,3819
100900006,완성빌라(00030),종로구,3813
110000087,상계주공7단지(00133),노원구,3801
111901149,파크자이105동앞(00006),은평구,3801
107900145,성북세무서앞(00034),성북구,3797
109900015,방학삼성래미안1단지아파트(00038),도봉구,3795
113900286,서부수도사업소(00006),마포구,3795
112900190,서대문지역자활센터(00003),서대문구,3780
114000263,트럭터미널주유소앞(00002),양천구,3778
109000415,녹천교(00104),도봉구,3776
116900209,오류동교회(00017),구로구,3770
108900089,성당앞(00015),강북구,3769
100900170,상명초등학교(00028),종로구,3763
115000953,한강버스마곡선착장(00014),강서구,3753
118900190,대우미래사랑(00015),영등포구,3744
115900141,강서아파트(00024),강서구,3743
113900313,와우산로오거리(00004),마포구,3740
102000159,신용산역5번출구(00040),용산구,3725
116000082,개봉치안센터(00050),구로구,3717
108900014,번동슈퍼(00033),강북구,3707
123000699,한강버스잠실선착장(00038),송파구,3705
103000129,사근고개(00029),성동구,3704
119900011,하손초장교회(00008),동작구,3703
100900160,보현빌라(00023),종로구,3696
103000106,영동대교(00004),성동구,3696
117900193,산기슭공원(00001),금천구,3694
119900318,우리교회(00007),동작구,3688
103900301,올림픽체육관맞은편(00021),성동구,3686
119900305,정금마을(00012),동작구,3669
120000220,금호타운아파트(00032),관악구,3666
113900110,마포노인복지관(00013),마포구,3653
115900081,삼거리(00046),강서구,3648
102000202,원효2동산호아파트후문(00011),용산구,3642
119900155,동작우체국(00034),동작구,3639
118900203,신길GS자이아파트정문(00023),영등포구,3633
121900206,kt연구소(00021),서초구,3630
111900130,힐스테이트상가앞(00005),은평구,3628
112900164,종근당(00010),서대문구,3626
108900026,국립4.19민주묘지삼거리.윤극영가옥(00030),강북구,3616
116900232,오류중학교(00009),구로구,3612
122000398,코원에너지서비스(00023),강남구,3611
111901139,응암동성당(00017),은평구,3611
119900063,보라매공원입구(00034),동작구,3603
120900118,서울관광고등학교(00019),관악구,3587
115900058,선교교회(00038),강서구,3586
117900015,유창슈퍼(00033),금천구,3584
109900178,효문중학교(00025),도봉구,3583
120900004,신림성모성당앞(00010),관악구,3582
105900047,부속상가(00036),동대문구,3571
109900083,도봉중학교.서원아파트(00011),도봉구,3569
124000187,상일동빌라단지(00038),강동구,3563
112900221,백련사(00024),서대문구,3556
107000273,대일외고서경대정문(00028),성북구,3552
110900029,지에스마트(00029),노원구,3545
102900078,청화아파트(00011),용산구,3535
109900072,서울북부지방법원(00014),도봉구,3510
107000212,성북구청(00027),성북구,3503
120900127,은천아파트(00021),관악구,3502
115900158,방화동삼익아파트(00035),강서구,3500
122000640,마루공원(00041),강남구,3500
113900064,도화현대1차아파트(00012),마포구,3499
118000539,영등포농협당산역지점(00035),영등포구,3491
115000944,서울식물원.숲문화학교(00078),강서구,3490
108900065,보람미용실(00021),강북구,3486
115900215,국민약국(00030),강서구,3484
106000457,새솔초등학교(00105),중랑구,3477
119900283,양녕청년주택(00030),동작구,3469
115900137,청과시장2(00003),강서구,3466
116900110,우리은행앞(00002),구로구,3465
115900023,생태공원(00001),강서구,3457
118900171,오거리(00026),영등포구,3455
121900170,서문여고(00033),서초구,3452
109000070,김근태기념도서관.도봉고등학교(00059),도봉구,3447
109000035,도봉보건소(00013),도봉구,3433
114000077,현대아파트후문(00010),양천구,3433
120000059,사당역4번출구(00041),관악구,3432
124000144,고덕숲아이파크(00056),강동구,3424
124000478,샘터근린공원교차로(00045),강동구,3422
108000379,우이3교(00050),강북구,3421
100900167,볼링장(00014),종로구,3420
122000746,강남세곡체육공원(00004),강남구,3413
107900166,장위1동노인정(00033),성북구,3413
113900275,월드컵파크2단지.에스플렉스센터(00038),마포구,3409
110000154,상계주공2단지(00073),노원구,3407
117900132,남문교회(00040),금천구,3398
115900055,화곡탑건진선미아파트(00039),강서구,3393
121900308,언남초등학교(00038),서초구,3388
112900060,풍림1차아파트(00016),서대문구,3387
121900038,방배고개(00006),서초구,3381
122900105,방죽마을입구(00006),강남구,3371
100900215,교남동주민센터(00022),종로구,3364
113900101,마포자이아파트(00013),마포구,3364
121000234,꽃마을(00020),서초구,3361
120900166,보라매노인복지회관(00018),관악구,3357
107900186,현대홈마트(00030),성북구,3355
107900230,종암래미안(00024),성북구,3347
119000291,대방역.여의교앞(00045),동작구,3342
118900007,신일어린이공원(00003),영등포구,3331
124000404,강명초등학교.고덕리엔파크3단지(00060),강동구,3327
116900234,큰굴다리(00015),구로구,3316
103900025,금호1가동주민센터(00002),성동구,3311
119900315,삼성래미안.롯데캐슬솔레(00016),동작구,3304
123900057,삼전역(00002),송파구,3283
121000984,kt연구소(00009),서초구,3283
119900156,노들역.노량진교회(00001),동작구,3282
107900175,개운중학교(00031),성북구,3270
115900052,GS화곡개나리점(00040),강서구,3267
102900082,가야랑앞(00030),용산구,3267
122000372,개포4단지5단지(00003),강남구,3266
110000223,녹천초등학교월계이마트(00021),노원구,3264
102900023,보광초등학교(00013),용산구,3263
115000263,등촌9단지SBS공개홀(00018),강서구,3261
100900147,감사원(00024),종로구,3247
100900184,청구빌라(00010),종로구,3244
104900063,워커힐팰리스(00044),광진구,3243
106000189,봉화초등학교(00004),중랑구,3229
107900082,성북노인정입구(00011),성북구,3224
118000626,문래공원사거리(00024),영등포구,3216
106000483,망우리역사문화공원(00026),중랑구,3211
110000652,태릉국제스케이트장(00056),노원구,3210
119900294,푸르지오상가(00005),동작구,3209
107000213,보문2교(00012),성북구,3195
117900172,삼성산자연공원.삼성체육공원(00031),금천구,3188
111000228,수색역(00046),은평구,3184
100900085,서울대어린이병원응급실.갑상선센터(00011),종로구,3177
118900168,신일어린이공원(00027),영등포구,3170
103900197,텐즈힐아파트101동.115동(00015),성동구,3166
119900178,동작삼일수영장(00016),동작구,3164
120900108,우리현대마트(00017),관악구,3162
111000161,구기터널입구(00018),은평구,3160
113900205,로데오거리(00027),마포구,3156
114000163,제일은행앞(00018),양천구,3155
103900094,금호공원(00015),성동구,3143
